.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
9,6,141,8,8,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
9,7,142,0,0,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
9,8,143,10,10,3,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
9,9,144,4,4,3,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
9,10,145,7,7,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
9,11,146,1,1,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
9,12,147,13,13,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
9,13,148,5,5,3,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
9,14,149,7,7,3,['d'],Y,['d'],N,None,Y,49,34,25,,,,female,20,
10,0,150,5,5,4,['k'],Y,['k'],,,,,,,,,,female,20,
10,1,151,3,3,4,['k'],Y,['k'],,,,,,,,,,female,20,
10,2,152,11,11,4,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
10,3,153,11,11,4,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
10,4,154,2,2,4,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
10,5,155,3,3,4,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
10,6,156,9,9,4,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
10,7,157,10,10,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
10,8,158,6,6,4,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
10,9,159,9,9,4,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
10,10,160,9,9,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
10,11,161,1,1,4,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
10,12,162,10,10,4,['k'],Y,['k'],N,['space'],N,,,,,,,female,20,
10,13,163,2,2,4,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
10,14,164,6,6,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
11,0,165,6,6,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
11,1,166,14,14,4,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
11,2,167,0,0,4,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
11,3,168,7,7,4,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
11,4,169,6,6,4,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
11,5,170,7,7,4,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
11,6,171,6,6,4,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
11,7,172,1,1,4,['k'],Y,['k'],N,['space'],N,,,,,,,female,20,
11,8,173,8,8,4,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
11,9,174,8,8,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
11,10,175,0,0,4,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
11,11,176,14,14,4,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
11,12,177,14,14,4,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
11,13,178,2,2,4,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
11,14,179,4,4,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
12,0,180,5,5,4,['d'],N,['k'],Y,None,N,,,,,,,female,20,
12,1,181,12,12,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
12,2,182,6,6,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
12,3,183,3,3,4,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
12,4,184,14,14,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
12,5,185,13,13,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
12,6,186,4,4,4,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
12,7,187,12,12,4,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
12,8,188,11,11,4,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
12,9,189,1,1,4,['d'],N,['k'],Y,None,N,,,,,,,female,20,
12,10,190,10,10,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
12,11,191,3,3,4,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
12,12,192,14,14,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
12,13,193,1,1,4,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
12,14,194,8,8,4,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
13,0,195,8,8,4,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
13,1,196,13,13,4,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
13,2,197,9,9,4,['k'],Y,['k'],N,['space'],N,,,,,,,female,20,
13,3,198,3,3,4,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
13,4,199,9,9,4,['k'],Y,['k'],Y,['space'],Y,48,29,23,,,,female,20,
13,5,200,13,13,5,['k'],Y,['k'],,,,,,,,,,female,20,
13,6,201,7,7,5,['d'],Y,['d'],,,,,,,,,,female,20,
13,7,202,4,4,5,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
13,8,203,7,7,5,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
13,9,204,13,13,5,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
13,10,205,4,4,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
13,11,206,9,9,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
13,12,207,14,14,5,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
13,13,208,10,10,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
13,14,209,0,0,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
14,0,210,3,3,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
14,1,211,7,7,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
14,2,212,5,5,5,['k'],N,['d'],Y,['space'],Y,,,,,,,female,20,
14,3,213,1,1,5,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
14,4,214,2,2,5,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
14,5,215,0,0,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
14,6,216,6,6,5,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
14,7,217,10,10,5,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
14,8,218,12,12,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
14,9,219,7,7,5,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
14,10,220,6,6,5,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
14,11,221,13,13,5,['k'],Y,['k'],Y,None,N,,,,,,,female,20,
