.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Int Match?,Int Response,Int Correct?,Category,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
14,0,210,1,1,5,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
14,1,211,11,11,5,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
14,2,212,2,2,5,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
14,3,213,7,7,5,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
14,4,214,11,11,5,['k'],N,Y,None,N,['d'],,,,,,,F,20,
14,5,215,1,1,5,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
14,6,216,8,8,5,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
14,7,217,8,8,5,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
14,8,218,0,0,5,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
14,9,219,2,2,5,['k'],N,Y,None,N,['d'],,,,,,,F,20,
14,10,220,9,9,5,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
14,11,221,4,4,5,['k'],N,Y,None,N,['d'],,,,,,,F,20,
14,12,222,7,7,5,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
14,13,223,7,7,5,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
14,14,224,3,3,5,['k'],N,N,None,Y,['d'],,,,,,,F,20,
15,0,225,2,2,5,['k'],N,Y,None,N,['d'],,,,,,,F,20,
15,1,226,3,3,5,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
15,2,227,5,5,5,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
15,3,228,6,6,5,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
15,4,229,4,4,5,['k'],N,N,None,Y,['d'],,,,,,,F,20,
15,5,230,2,2,5,['k'],N,N,None,Y,['d'],,,,,,,F,20,
15,6,231,0,0,5,['k'],N,Y,None,N,['d'],,,,,,,F,20,
15,7,232,10,10,5,['k'],N,Y,None,N,['d'],,,,,,,F,20,
15,8,233,5,5,5,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
15,9,234,5,5,5,['k'],N,N,None,Y,['d'],,,,,,,F,20,
15,10,235,12,12,5,['d'],N,N,None,Y,['k'],,,,,,,F,20,
15,11,236,0,0,5,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
15,12,237,0,0,5,['k'],N,N,None,Y,['d'],,,,,,,F,20,
15,13,238,9,9,5,['k'],N,N,None,Y,['d'],,,,,,,F,20,
15,14,239,13,13,5,['k'],N,Y,None,N,['d'],,,,,,,F,20,
16,0,240,2,2,5,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
16,1,241,7,7,5,['d'],N,N,None,Y,['k'],,,,,,,F,20,
16,2,242,6,6,5,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
16,3,243,8,8,5,['k'],N,N,None,Y,['d'],,,,,,,F,20,
16,4,244,12,12,5,['k'],N,N,None,Y,['d'],,,,,,,F,20,
16,5,245,10,10,5,['k'],N,Y,None,N,['d'],,,,,,,F,20,
16,6,246,2,2,5,['k'],N,Y,None,N,['d'],,,,,,,F,20,
16,7,247,7,7,5,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
16,8,248,9,9,5,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
16,9,249,6,6,5,['k'],Y,N,None,Y,['k'],26,29,19,,,,F,20,
16,10,250,5,5,6,['k'],Y,,,,['k'],,,,,,,F,20,
16,11,251,13,13,6,['k'],Y,,,,['k'],,,,,,,F,20,
16,12,252,14,14,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
16,13,253,11,11,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
16,14,254,1,1,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
17,0,255,14,14,6,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
17,1,256,4,4,6,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
17,2,257,1,1,6,['k'],N,N,None,Y,['d'],,,,,,,F,20,
17,3,258,12,12,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
17,4,259,4,4,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
17,5,260,6,6,6,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
17,6,261,7,7,6,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
17,7,262,7,7,6,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
17,8,263,12,12,6,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
17,9,264,11,11,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
17,10,265,7,7,6,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
17,11,266,14,14,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
17,12,267,9,9,6,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
17,13,268,2,2,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
17,14,269,7,7,6,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
18,0,270,10,10,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
18,1,271,8,8,6,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
18,2,272,12,12,6,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
18,3,273,11,11,6,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
18,4,274,13,13,6,['k'],N,N,None,Y,['d'],,,,,,,F,20,
18,5,275,14,14,6,['k'],N,N,None,Y,['d'],,,,,,,F,20,
18,6,276,14,14,6,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
18,7,277,14,14,6,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
18,8,278,0,0,6,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
18,9,279,11,11,6,['k'],N,N,None,Y,['d'],,,,,,,F,20,
18,10,280,10,10,6,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
18,11,281,8,8,6,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
18,12,282,13,13,6,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
18,13,283,13,13,6,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
18,14,284,8,8,6,['k'],N,N,None,Y,['d'],,,,,,,F,20,
19,0,285,2,2,6,['k'],N,N,None,Y,['d'],,,,,,,F,20,
19,1,286,0,0,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
19,2,287,11,11,6,['k'],N,Y,None,N,['d'],,,,,,,F,20,
19,3,288,1,1,6,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
19,4,289,11,11,6,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
19,5,290,12,12,6,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
19,6,291,3,3,6,['d'],Y,Y,['d'],N,['d'],,,,,,,F,20,
19,7,292,14,14,6,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
19,8,293,11,11,6,['k'],N,N,None,Y,['d'],,,,,,,F,20,
19,9,294,6,6,6,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
19,10,295,8,8,6,['d'],N,N,None,Y,['k'],,,,,,,F,20,
19,11,296,13,13,6,['k'],N,N,None,Y,['d'],,,,,,,F,20,
19,12,297,4,4,6,['k'],N,N,None,Y,['d'],,,,,,,F,20,
19,13,298,2,2,6,['d'],N,N,None,Y,['k'],,,,,,,F,20,
19,14,299,8,8,6,['d'],Y,N,None,Y,['d'],28,23,25,,,,F,20,
20,0,300,1,1,7,['k'],N,,,,['d'],,,,,,,F,20,
20,1,301,0,0,7,['k'],N,,,,['d'],,,,,,,F,20,
20,2,302,5,5,7,['d'],N,N,None,Y,['k'],,,,,,,F,20,
20,3,303,13,13,7,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
20,4,304,9,9,7,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
20,5,305,1,1,7,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
20,6,306,13,13,7,['k'],N,Y,None,N,['d'],,,,,,,F,20,
20,7,307,9,9,7,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
20,8,308,9,9,7,['k'],N,Y,None,N,['d'],,,,,,,F,20,
20,9,309,1,1,7,['d'],N,Y,None,N,['k'],,,,,,,F,20,
20,10,310,13,13,7,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
20,11,311,14,14,7,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
20,12,312,3,3,7,['d'],Y,N,None,Y,['d'],,,,,,,F,20,
20,13,313,2,2,7,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
20,14,314,2,2,7,['k'],N,N,None,Y,['d'],,,,,,,F,20,
21,0,315,1,1,7,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
21,1,316,12,12,7,['k'],N,Y,None,N,['d'],,,,,,,F,20,
21,2,317,11,11,7,['k'],N,Y,None,N,['d'],,,,,,,F,20,
21,3,318,6,6,7,['k'],N,Y,None,N,['d'],,,,,,,F,20,
21,4,319,3,3,7,['k'],Y,Y,None,N,['k'],,,,,,,F,20,
21,5,320,9,9,7,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
21,6,321,2,2,7,['k'],N,Y,None,N,['d'],,,,,,,F,20,
21,7,322,8,8,7,['k'],N,N,None,Y,['d'],,,,,,,F,20,
21,8,323,10,10,7,['d'],N,Y,None,N,['k'],,,,,,,F,20,
21,9,324,2,2,7,['k'],N,N,None,Y,['d'],,,,,,,F,20,
21,10,325,0,0,7,['k'],N,N,None,Y,['d'],,,,,,,F,20,
21,11,326,14,14,7,['k'],N,N,None,Y,['d'],,,,,,,F,20,
21,12,327,9,9,7,['d'],Y,Y,None,N,['d'],,,,,,,F,20,
21,13,328,13,13,7,['k'],N,Y,None,N,['d'],,,,,,,F,20,
21,14,329,8,8,7,['d'],N,N,None,Y,['k'],,,,,,,F,20,
22,0,330,14,14,7,['k'],N,Y,None,N,['d'],,,,,,,F,20,
22,1,331,5,5,7,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
22,2,332,3,3,7,['k'],Y,N,None,Y,['k'],,,,,,,F,20,
22,3,333,8,8,7,['k'],N,N,None,Y,['d'],,,,,,,F,20,
22,4,334,6,6,7,['k'],N,N,None,Y,['d'],,,,,,,F,20,
22,5,335,4,4,7,['d'],N,Y,None,N,['k'],,,,,,,F,20,
22,6,336,9,9,7,['k'],N,Y,None,N,['d'],,,,,,,F,20,
