.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
13,7,202,7,7,5,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
13,8,203,6,6,5,['d'],N,['k'],N,None,Y,,,,,,,F,22,
13,9,204,1,1,5,['k'],N,['d'],N,None,Y,,,,,,,F,22,
13,10,205,5,5,5,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
13,11,206,10,10,5,['k'],N,['d'],Y,None,N,,,,,,,F,22,
13,12,207,12,12,5,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
13,13,208,3,3,5,['k'],N,['d'],N,None,Y,,,,,,,F,22,
13,14,209,7,7,5,['d'],N,['k'],N,None,Y,,,,,,,F,22,
14,0,210,9,9,5,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
14,1,211,7,7,5,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
14,2,212,5,5,5,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
14,3,213,14,14,5,['k'],N,['d'],Y,None,N,,,,,,,F,22,
14,4,214,6,6,5,['k'],N,['d'],Y,None,N,,,,,,,F,22,
14,5,215,12,12,5,['k'],N,['d'],Y,None,N,,,,,,,F,22,
14,6,216,12,12,5,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
14,7,217,2,2,5,['k'],N,['d'],Y,None,N,,,,,,,F,22,
14,8,218,2,2,5,['d'],N,['k'],Y,None,N,,,,,,,F,22,
14,9,219,0,0,5,['k'],N,['d'],Y,None,N,,,,,,,F,22,
14,10,220,4,4,5,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
14,11,221,6,6,5,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
14,12,222,11,11,5,['k'],N,['d'],N,['k'],N,,,,,,,F,22,
14,13,223,7,7,5,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
14,14,224,11,11,5,['d'],N,['k'],N,None,Y,,,,,,,F,22,
15,0,225,1,1,5,['k'],N,['d'],N,None,Y,,,,,,,F,22,
15,1,226,7,7,5,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
15,2,227,0,0,5,['k'],N,['d'],N,None,Y,,,,,,,F,22,
15,3,228,14,14,5,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
15,4,229,2,2,5,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
15,5,230,10,10,5,['k'],N,['d'],Y,None,N,,,,,,,F,22,
15,6,231,9,9,5,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
15,7,232,3,3,5,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
15,8,233,9,9,5,['d'],N,['k'],N,None,Y,,,,,,,F,22,
15,9,234,3,3,5,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
15,10,235,13,13,5,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
15,11,236,4,4,5,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
15,12,237,6,6,5,['k'],N,['d'],N,None,Y,,,,,,,F,22,
15,13,238,2,2,5,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
15,14,239,14,14,5,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
16,0,240,2,2,5,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
16,1,241,10,10,5,['k'],N,['d'],N,None,Y,,,,,,,F,22,
16,2,242,6,6,5,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
16,3,243,10,10,5,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
16,4,244,13,13,5,['k'],N,['d'],Y,None,N,,,,,,,F,22,
16,5,245,0,0,5,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,22,
16,6,246,1,1,5,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
16,7,247,0,0,5,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
16,8,248,3,3,5,['k'],N,['d'],N,None,Y,,,,,,,F,22,
16,9,249,10,10,5,['d'],Y,['d'],Y,['d'],N,26,28,23,,,,F,22,
16,10,250,12,12,6,['k'],Y,['k'],,,,,,,,,,F,22,
16,11,251,4,4,6,['k'],N,['d'],,,,,,,,,,F,22,
16,12,252,14,14,6,['k'],N,['d'],Y,None,N,,,,,,,F,22,
16,13,253,12,12,6,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
16,14,254,11,11,6,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,22,
17,0,255,4,4,6,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
17,1,256,10,10,6,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,22,
17,2,257,13,13,6,['d'],N,['k'],N,None,Y,,,,,,,F,22,
17,3,258,12,12,6,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
17,4,259,0,0,6,['d'],N,['k'],Y,None,N,,,,,,,F,22,
17,5,260,5,5,6,['d'],N,['k'],N,['space'],N,,,,,,,F,22,
17,6,261,9,9,6,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
17,7,262,1,1,6,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
17,8,263,8,8,6,['k'],N,['d'],N,None,Y,,,,,,,F,22,
17,9,264,5,5,6,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,22,
17,10,265,13,13,6,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
17,11,266,11,11,6,['d'],N,['k'],Y,None,N,,,,,,,F,22,
17,12,267,5,5,6,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
17,13,268,3,3,6,['k'],N,['d'],Y,None,N,,,,,,,F,22,
17,14,269,0,0,6,['k'],N,['d'],N,['d'],N,,,,,,,F,22,
18,0,270,12,12,6,['d'],N,['k'],Y,None,N,,,,,,,F,22,
18,1,271,8,8,6,['k'],N,['d'],N,None,Y,,,,,,,F,22,
18,2,272,4,4,6,['d'],N,['k'],N,None,Y,,,,,,,F,22,
18,3,273,4,4,6,['k'],N,['d'],N,None,Y,,,,,,,F,22,
18,4,274,13,13,6,['d'],N,['k'],Y,None,N,,,,,,,F,22,
18,5,275,14,14,6,['k'],N,['d'],N,None,Y,,,,,,,F,22,
18,6,276,1,1,6,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
18,7,277,1,1,6,['d'],N,['k'],N,None,Y,,,,,,,F,22,
18,8,278,8,8,6,['k'],N,['d'],Y,None,N,,,,,,,F,22,
18,9,279,3,3,6,['d'],N,['k'],N,['d'],N,,,,,,,F,22,
18,10,280,14,14,6,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
18,11,281,0,0,6,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
18,12,282,10,10,6,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
18,13,283,2,2,6,['d'],Y,['d'],Y,None,N,,,,,,,F,22,
18,14,284,6,6,6,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
19,0,285,9,9,6,['d'],N,['k'],N,None,Y,,,,,,,F,22,
19,1,286,3,3,6,['k'],N,['d'],Y,None,N,,,,,,,F,22,
19,2,287,6,6,6,['k'],N,['d'],Y,None,N,,,,,,,F,22,
19,3,288,13,13,6,['d'],N,['k'],N,None,Y,,,,,,,F,22,
19,4,289,6,6,6,['d'],N,['k'],Y,None,N,,,,,,,F,22,
19,5,290,6,6,6,['k'],N,['d'],N,None,Y,,,,,,,F,22,
19,6,291,11,11,6,['d'],N,['k'],N,None,Y,,,,,,,F,22,
19,7,292,3,3,6,['k'],N,['d'],Y,None,N,,,,,,,F,22,
19,8,293,6,6,6,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
19,9,294,3,3,6,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
19,10,295,0,0,6,['k'],N,['d'],Y,None,N,,,,,,,F,22,
19,11,296,11,11,6,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
19,12,297,7,7,6,['k'],N,['d'],N,None,Y,,,,,,,F,22,
19,13,298,10,10,6,['k'],N,['d'],N,['k'],N,,,,,,,F,22,
19,14,299,1,1,6,['d'],N,['k'],N,['space'],N,19,22,25,,,,F,22,
20,0,300,12,12,7,['k'],N,['d'],,,,,,,,,,F,22,
20,1,301,13,13,7,['k'],N,['d'],,,,,,,,,,F,22,
20,2,302,0,0,7,['k'],N,['d'],N,None,Y,,,,,,,F,22,
20,3,303,9,9,7,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
20,4,304,10,10,7,['d'],Y,['d'],N,None,Y,,,,,,,F,22,
20,5,305,4,4,7,['k'],N,['d'],Y,None,N,,,,,,,F,22,
20,6,306,1,1,7,['d'],N,['k'],N,None,Y,,,,,,,F,22,
20,7,307,0,0,7,['k'],Y,['k'],Y,['k'],N,,,,,,,F,22,
20,8,308,7,7,7,['k'],N,['d'],Y,['d'],N,,,,,,,F,22,
20,9,309,2,2,7,['k'],Y,['k'],Y,['d'],N,,,,,,,F,22,
20,10,310,12,12,7,['d'],N,['k'],N,None,Y,,,,,,,F,22,
20,11,311,5,5,7,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
20,12,312,10,10,7,['k'],N,['d'],Y,None,N,,,,,,,F,22,
20,13,313,4,4,7,['d'],N,['k'],N,None,Y,,,,,,,F,22,
20,14,314,10,10,7,['k'],N,['d'],Y,None,N,,,,,,,F,22,
21,0,315,6,6,7,['d'],N,['k'],Y,['d'],N,,,,,,,F,22,
21,1,316,12,12,7,['k'],Y,['k'],N,None,Y,,,,,,,F,22,
21,2,317,7,7,7,['d'],N,['k'],Y,None,N,,,,,,,F,22,
21,3,318,10,10,7,['k'],N,['d'],Y,None,N,,,,,,,F,22,
21,4,319,6,6,7,['d'],N,['k'],N,None,Y,,,,,,,F,22,
21,5,320,1,1,7,['k'],Y,['k'],Y,None,N,,,,,,,F,22,
21,6,321,1,1,7,['d'],N,['k'],N,None,Y,,,,,,,F,22,
21,7,322,2,2,7,['k'],N,['d'],Y,None,N,,,,,,,F,22,
21,8,323,13,13,7,['d'],N,['k'],N,['space'],N,,,,,,,F,22,
21,9,324,8,8,7,['k'],N,['d'],N,None,Y,,,,,,,F,22,
21,10,325,10,10,7,['d'],Y,['d'],N,['space'],N,,,,,,,F,22,
21,11,326,3,3,7,['k'],Y,['k'],N,['space'],N,,,,,,,F,22,
21,12,327,1,1,7,['d'],Y,['d'],N,['space'],N,,,,,,,F,22,
21,13,328,12,12,7,['k'],N,['d'],N,['space'],N,,,,,,,F,22,
21,14,329,10,10,7,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,22,
22,0,330,11,11,7,['d'],N,['k'],Y,['space'],Y,,,,,,,F,22,
22,1,331,14,14,7,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,22,
22,2,332,3,3,7,['k'],N,['d'],Y,['space'],Y,,,,,,,F,22,
