.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
10,2,112,3,3,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,f,22,
10,3,113,9,9,3,None,Timed out,,Y,None,N,,,,,,,f,22,
10,4,114,7,7,3,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
10,5,115,6,6,3,['d'],N,['k'],N,None,Y,,,,,,,f,22,
10,6,116,4,4,3,['k'],N,['d'],N,None,Y,,,,,,,f,22,
10,7,117,5,5,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,f,22,
10,8,118,6,6,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,f,22,
10,9,119,6,6,3,['k'],Y,['k'],Y,None,N,,,,,,,f,22,
10,10,120,1,1,3,['d'],N,['k'],Y,['space'],Y,,,,,,,f,22,
11,0,121,3,3,3,['k'],Y,['k'],Y,None,N,,,,,,,f,22,
11,1,122,9,9,3,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
11,2,123,6,6,3,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
11,3,124,5,5,3,['k'],N,['d'],Y,['space'],Y,,,,,,,f,22,
11,4,125,1,1,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,f,22,
11,5,126,0,0,3,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
11,6,127,5,5,3,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
11,7,128,4,4,3,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
11,8,129,0,0,3,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
11,9,130,3,3,3,['k'],Y,['k'],N,None,Y,,,,,,,f,22,
11,10,131,0,0,3,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
12,0,132,6,6,3,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
12,1,133,4,4,3,['d'],Y,['d'],N,None,Y,,,,,,,f,22,
