.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
8,10,98,8,8,2,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
9,0,99,3,3,2,['k'],N,['d'],N,None,Y,29,40,22,,,,F,20,
9,1,100,10,10,3,['d'],N,['k'],,,,,,,,,,F,20,
9,2,101,4,4,3,['k'],N,['d'],,,,,,,,,,F,20,
9,3,102,1,1,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
9,4,103,8,8,3,['d'],Y,['d'],Y,['k'],N,,,,,,,F,20,
9,5,104,9,9,3,['d'],N,['k'],N,None,Y,,,,,,,F,20,
9,6,105,8,8,3,['d'],N,['k'],N,None,Y,,,,,,,F,20,
9,7,106,8,8,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
9,8,107,1,1,3,['d'],N,['k'],N,None,Y,,,,,,,F,20,
9,9,108,6,6,3,['d'],Y,['d'],Y,None,N,,,,,,,F,20,
9,10,109,0,0,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
10,0,110,5,5,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
10,1,111,10,10,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
10,2,112,2,2,3,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
10,3,113,8,8,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
10,4,114,8,8,3,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
10,5,115,2,2,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
10,6,116,2,2,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
10,7,117,7,7,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
10,8,118,4,4,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
10,9,119,10,10,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
10,10,120,0,0,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
11,0,121,6,6,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
11,1,122,7,7,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
11,2,123,2,2,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
11,3,124,3,3,3,['k'],N,['d'],N,None,Y,,,,,,,F,20,
11,4,125,3,3,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
11,5,126,1,1,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
11,6,127,1,1,3,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
11,7,128,10,10,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
11,8,129,5,5,3,['k'],N,['d'],N,None,Y,,,,,,,F,20,
11,9,130,3,3,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
11,10,131,6,6,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
12,0,132,9,9,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
12,1,133,6,6,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
12,2,134,6,6,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
12,3,135,10,10,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
12,4,136,7,7,3,['k'],N,['d'],N,None,Y,,,,,,,F,20,
12,5,137,0,0,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
12,6,138,5,5,3,['k'],N,['d'],N,None,Y,,,,,,,F,20,
12,7,139,6,6,3,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
12,8,140,2,2,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
12,9,141,2,2,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
12,10,142,5,5,3,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
13,0,143,5,5,3,['d'],N,['k'],N,None,Y,,,,,,,F,20,
13,1,144,6,6,3,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
13,2,145,10,10,3,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
13,3,146,0,0,3,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
13,4,147,6,6,3,['d'],N,['k'],N,None,Y,,,,,,,F,20,
13,5,148,2,2,3,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
13,6,149,0,0,3,['d'],Y,['d'],N,['space'],N,25,45,25,,,,F,20,
13,7,150,0,0,4,['k'],Y,['k'],,,,,,,,,,F,20,
13,8,151,1,1,4,['d'],Y,['d'],,,,,,,,,,F,20,
13,9,152,5,5,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
13,10,153,7,7,4,['d'],N,['k'],Y,None,N,,,,,,,F,20,
14,0,154,5,5,4,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
14,1,155,8,8,4,['d'],Y,['d'],Y,['space'],Y,,,,,,,F,20,
14,2,156,4,4,4,['k'],N,['d'],N,None,Y,,,,,,,F,20,
14,3,157,0,0,4,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
14,4,158,2,2,4,['k'],Y,['k'],Y,['space'],Y,,,,,,,F,20,
14,5,159,8,8,4,['d'],N,['k'],N,None,Y,,,,,,,F,20,
14,6,160,5,5,4,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
14,7,161,6,6,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
14,8,162,8,8,4,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
14,9,163,0,0,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
14,10,164,5,5,4,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
15,0,165,6,6,4,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
15,1,166,1,1,4,['k'],Y,['k'],N,None,Y,,,,,,,F,20,
15,2,167,5,5,4,['d'],Y,['d'],N,None,Y,,,,,,,F,20,
15,3,168,1,1,4,['k'],N,['d'],Y,['space'],Y,,,,,,,F,20,
15,4,169,8,8,4,['d'],N,['k'],Y,['space'],Y,,,,,,,F,20,
15,5,170,4,4,4,['k'],N,['d'],Y,None,N,,,,,,,F,20,
15,6,171,3,3,4,['d'],N,['k'],Y,None,N,,,,,,,F,20,
