.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Fast?,gender,age
0,159,159,254,4,['d'],['d'],Y,,,female,21
0,160,160,358,4,['k'],['k'],Y,,,female,21
0,161,161,486,4,['k'],['k'],Y,,,female,21
0,162,162,168,4,['d'],['d'],Y,,,female,21
0,163,163,510,4,['k'],['k'],Y,,,female,21
0,164,164,480,4,['k'],['k'],Y,,,female,21
0,165,165,46,4,['d'],['d'],Y,,,female,21
0,166,166,41,4,['d'],['d'],Y,,,female,21
0,167,167,502,4,['k'],['k'],Y,,,female,21
0,168,168,338,4,['k'],['k'],Y,,,female,21
0,169,169,463,4,['k'],['k'],Y,,,female,21
0,170,170,330,4,['k'],['k'],Y,,,female,21
0,171,171,382,4,['k'],['k'],Y,,,female,21
0,172,172,226,4,['d'],['d'],Y,,,female,21
0,173,173,258,4,['d'],['d'],Y,,,female,21
0,174,174,515,4,['k'],['k'],Y,,,female,21
0,175,175,24,4,['d'],['d'],Y,,,female,21
0,176,176,340,4,['k'],['k'],Y,,,female,21
0,177,177,237,4,['d'],['d'],Y,,,female,21
0,178,178,431,4,['k'],['k'],Y,,,female,21
0,179,179,266,4,['d'],['d'],Y,,,female,21
0,180,180,335,4,['k'],['k'],Y,,,female,21
0,181,181,538,4,['k'],['k'],Y,,,female,21
0,182,182,451,4,['k'],['k'],Y,,,female,21
0,183,183,388,4,['k'],['k'],Y,,,female,21
0,184,184,288,4,['k'],['d'],N,,,female,21
0,185,185,146,4,['k'],['d'],N,,,female,21
0,186,186,103,4,['d'],['d'],Y,,,female,21
0,187,187,469,4,['k'],['k'],Y,,,female,21
0,188,188,555,4,['k'],['k'],Y,,,female,21
0,189,189,150,4,['d'],['d'],Y,,,female,21
0,190,190,263,4,['d'],['d'],Y,,,female,21
0,191,191,495,4,['d'],['k'],N,,,female,21
0,192,192,10,4,['d'],['d'],Y,,,female,21
0,193,193,421,4,['k'],['k'],Y,,,female,21
0,194,194,4,4,['d'],['d'],Y,,,female,21
0,195,195,396,4,['k'],['k'],Y,,,female,21
0,196,196,593,4,['k'],['k'],Y,,,female,21
0,197,197,147,4,['d'],['d'],Y,,,female,21
0,198,198,176,4,['d'],['d'],Y,,,female,21
0,199,199,513,4,['k'],['k'],Y,,,female,21
,,,,,,,"45 correct, 5 wrong",,,,
0,200,200,500,5,['k'],['k'],Y,,,female,21
0,201,201,569,5,['k'],['k'],Y,,,female,21
0,202,202,365,5,['k'],['k'],Y,,,female,21
0,203,203,178,5,['d'],['d'],Y,,,female,21
0,204,204,71,5,['d'],['d'],Y,,,female,21
0,205,205,430,5,['k'],['k'],Y,,,female,21
0,206,206,30,5,['d'],['d'],Y,,,female,21
0,207,207,276,5,['d'],['d'],Y,,,female,21
0,208,208,204,5,['d'],['d'],Y,,,female,21
0,209,209,197,5,['d'],['d'],Y,,,female,21
0,210,210,130,5,['d'],['d'],Y,,,female,21
