.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Int Match?,Int Response,Int Correct?,Category,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
8,7,95,4,4,2,['k'],N,N,None,Y,['d'],,,,,,,F,21,
8,8,96,5,5,2,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
8,9,97,3,3,2,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
8,10,98,3,3,2,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
9,0,99,9,9,2,['d'],Y,N,None,Y,['d'],29,45,25,,,,F,21,
9,1,100,3,3,3,['d'],N,,,,['k'],,,,,,,F,21,
9,2,101,0,0,3,['k'],N,,,,['d'],,,,,,,F,21,
9,3,102,1,1,3,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
9,4,103,5,5,3,['d'],Y,Y,None,N,['d'],,,,,,,F,21,
9,5,104,3,3,3,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
9,6,105,6,6,3,['k'],N,Y,None,N,['d'],,,,,,,F,21,
9,7,106,2,2,3,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
9,8,107,6,6,3,['d'],N,N,['d'],N,['k'],,,,,,,F,21,
9,9,108,1,1,3,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
9,10,109,8,8,3,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
10,0,110,9,9,3,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
10,1,111,8,8,3,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
10,2,112,2,2,3,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
10,3,113,3,3,3,['d'],N,Y,None,N,['k'],,,,,,,F,21,
10,4,114,5,5,3,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
10,5,115,6,6,3,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
10,6,116,2,2,3,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
10,7,117,10,10,3,['k'],N,N,None,Y,['d'],,,,,,,F,21,
10,8,118,6,6,3,['d'],N,N,None,Y,['k'],,,,,,,F,21,
10,9,119,2,2,3,['k'],N,N,None,Y,['d'],,,,,,,F,21,
10,10,120,4,4,3,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
11,0,121,3,3,3,['k'],N,Y,None,N,['d'],,,,,,,F,21,
11,1,122,8,8,3,['k'],N,Y,None,N,['d'],,,,,,,F,21,
11,2,123,4,4,3,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
11,3,124,9,9,3,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
11,4,125,7,7,3,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
11,5,126,2,2,3,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
11,6,127,3,3,3,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
11,7,128,3,3,3,['k'],N,N,None,Y,['d'],,,,,,,F,21,
11,8,129,4,4,3,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
11,9,130,8,8,3,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
11,10,131,9,9,3,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
12,0,132,4,4,3,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
12,1,133,2,2,3,['k'],N,N,None,Y,['d'],,,,,,,F,21,
12,2,134,5,5,3,['k'],N,N,None,Y,['d'],,,,,,,F,21,
12,3,135,6,6,3,['d'],N,N,None,Y,['k'],,,,,,,F,21,
12,4,136,7,7,3,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
12,5,137,1,1,3,['k'],N,N,None,Y,['d'],,,,,,,F,21,
12,6,138,6,6,3,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
12,7,139,8,8,3,['d'],N,N,None,Y,['k'],,,,,,,F,21,
12,8,140,0,0,3,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
12,9,141,3,3,3,['d'],N,N,None,Y,['k'],,,,,,,F,21,
12,10,142,5,5,3,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
13,0,143,5,5,3,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
13,1,144,6,6,3,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
13,2,145,3,3,3,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
13,3,146,7,7,3,['k'],N,N,None,Y,['d'],,,,,,,F,21,
13,4,147,10,10,3,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
13,5,148,1,1,3,['k'],N,N,None,Y,['d'],,,,,,,F,21,
13,6,149,1,1,3,['d'],N,Y,['space'],Y,['k'],22,42,24,,,,F,21,
13,7,150,3,3,4,['k'],N,,,,['d'],,,,,,,F,21,
13,8,151,7,7,4,['d'],N,,,,['k'],,,,,,,F,21,
13,9,152,7,7,4,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
13,10,153,4,4,4,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
14,0,154,8,8,4,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
14,1,155,4,4,4,['k'],N,N,None,Y,['d'],,,,,,,F,21,
14,2,156,9,9,4,['d'],N,N,None,Y,['k'],,,,,,,F,21,
14,3,157,2,2,4,['k'],Y,Y,None,N,['k'],,,,,,,F,21,
14,4,158,4,4,4,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
14,5,159,4,4,4,['d'],N,N,None,Y,['k'],,,,,,,F,21,
14,6,160,7,7,4,['k'],N,N,None,Y,['d'],,,,,,,F,21,
14,7,161,6,6,4,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
14,8,162,3,3,4,['k'],N,Y,None,N,['d'],,,,,,,F,21,
14,9,163,9,9,4,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
14,10,164,9,9,4,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
15,0,165,6,6,4,['k'],N,Y,None,N,['d'],,,,,,,F,21,
15,1,166,8,8,4,['k'],N,N,['space'],N,['d'],,,,,,,F,21,
15,2,167,1,1,4,['d'],Y,Y,None,N,['d'],,,,,,,F,21,
15,3,168,0,0,4,['k'],N,N,None,Y,['d'],,,,,,,F,21,
15,4,169,5,5,4,['d'],N,Y,None,N,['k'],,,,,,,F,21,
15,5,170,3,3,4,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
15,6,171,10,10,4,['d'],N,N,None,Y,['k'],,,,,,,F,21,
15,7,172,4,4,4,['k'],N,Y,None,N,['d'],,,,,,,F,21,
15,8,173,0,0,4,['d'],Y,Y,None,N,['d'],,,,,,,F,21,
15,9,174,9,9,4,['k'],Y,Y,None,N,['k'],,,,,,,F,21,
15,10,175,4,4,4,['k'],N,N,None,Y,['d'],,,,,,,F,21,
16,0,176,6,6,4,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
16,1,177,1,1,4,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
16,2,178,1,1,4,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
16,3,179,4,4,4,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
16,4,180,1,1,4,['d'],Y,N,['space'],N,['d'],,,,,,,F,21,
16,5,181,1,1,4,['k'],N,N,None,Y,['d'],,,,,,,F,21,
16,6,182,7,7,4,['k'],N,Y,None,N,['d'],,,,,,,F,21,
16,7,183,6,6,4,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
16,8,184,2,2,4,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
16,9,185,6,6,4,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
16,10,186,5,5,4,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
17,0,187,2,2,4,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
17,1,188,0,0,4,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
17,2,189,9,9,4,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
17,3,190,2,2,4,['d'],N,N,None,Y,['k'],,,,,,,F,21,
17,4,191,0,0,4,['k'],Y,Y,None,N,['k'],,,,,,,F,21,
17,5,192,4,4,4,['d'],N,N,None,Y,['k'],,,,,,,F,21,
17,6,193,9,9,4,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
17,7,194,3,3,4,['k'],N,N,['space'],N,['d'],,,,,,,F,21,
17,8,195,6,6,4,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
17,9,196,6,6,4,['k'],N,N,None,Y,['d'],,,,,,,F,21,
17,10,197,10,10,4,['d'],N,N,None,Y,['k'],,,,,,,F,21,
18,0,198,4,4,4,['k'],N,N,None,Y,['d'],,,,,,,F,21,
18,1,199,4,4,4,['k'],Y,N,['space'],N,['k'],17,34,25,,,,F,21,
18,2,200,1,1,5,['k'],Y,,,,['k'],,,,,,,F,21,
18,3,201,5,5,5,['d'],Y,,,,['d'],,,,,,,F,21,
18,4,202,10,10,5,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
18,5,203,6,6,5,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
18,6,204,2,2,5,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
18,7,205,1,1,5,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
18,8,206,5,5,5,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
18,9,207,8,8,5,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
18,10,208,7,7,5,['k'],N,Y,None,N,['d'],,,,,,,F,21,
19,0,209,8,8,5,['k'],N,Y,None,N,['d'],,,,,,,F,21,
19,1,210,1,1,5,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
19,2,211,5,5,5,['k'],N,Y,None,N,['d'],,,,,,,F,21,
19,3,212,9,9,5,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
19,4,213,7,7,5,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
19,5,214,3,3,5,['d'],Y,Y,None,N,['d'],,,,,,,F,21,
19,6,215,0,0,5,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
19,7,216,3,3,5,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
19,8,217,10,10,5,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
19,9,218,6,6,5,['d'],N,N,None,Y,['k'],,,,,,,F,21,
19,10,219,5,5,5,['d'],N,Y,None,N,['k'],,,,,,,F,21,
20,0,220,6,6,5,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
20,1,221,0,0,5,['d'],Y,Y,None,N,['d'],,,,,,,F,21,
20,2,222,8,8,5,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
20,3,223,0,0,5,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
20,4,224,5,5,5,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
20,5,225,0,0,5,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
20,6,226,8,8,5,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
20,7,227,5,5,5,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
20,8,228,4,4,5,['d'],N,N,None,Y,['k'],,,,,,,F,21,
20,9,229,9,9,5,['k'],N,Y,None,N,['d'],,,,,,,F,21,
20,10,230,3,3,5,['k'],Y,Y,None,N,['k'],,,,,,,F,21,
21,0,231,4,4,5,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
21,1,232,4,4,5,['k'],N,N,None,Y,['d'],,,,,,,F,21,
21,2,233,1,1,5,['d'],N,N,['space'],N,['k'],,,,,,,F,21,
21,3,234,9,9,5,['d'],N,N,None,Y,['k'],,,,,,,F,21,
21,4,235,2,2,5,['d'],N,N,['space'],N,['k'],,,,,,,F,21,
21,5,236,2,2,5,['d'],N,Y,None,N,['k'],,,,,,,F,21,
21,6,237,9,9,5,['k'],Y,Y,None,N,['k'],,,,,,,F,21,
21,7,238,2,2,5,['k'],N,N,None,Y,['d'],,,,,,,F,21,
21,8,239,10,10,5,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
21,9,240,0,0,5,['k'],N,N,None,Y,['d'],,,,,,,F,21,
21,10,241,0,0,5,['d'],N,N,['space'],N,['k'],,,,,,,F,21,
22,0,242,9,9,5,['k'],N,N,None,Y,['d'],,,,,,,F,21,
22,1,243,4,4,5,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
22,2,244,10,10,5,['k'],N,N,None,Y,['d'],,,,,,,F,21,
22,3,245,8,8,5,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
22,4,246,2,2,5,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
22,5,247,9,9,5,['k'],N,N,None,Y,['d'],,,,,,,F,21,
22,6,248,5,5,5,['k'],N,N,None,Y,['d'],,,,,,,F,21,
22,7,249,9,9,5,['k'],N,N,None,Y,['d'],24,35,25,,,,F,21,
22,8,250,3,3,6,['k'],Y,,,,['k'],,,,,,,F,21,
22,9,251,5,5,6,['k'],N,,,,['d'],,,,,,,F,21,
22,10,252,4,4,6,['k'],N,N,None,Y,['d'],,,,,,,F,21,
23,0,253,3,3,6,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
23,1,254,0,0,6,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
23,2,255,0,0,6,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
23,3,256,2,2,6,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
23,4,257,7,7,6,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
23,5,258,6,6,6,['d'],Y,Y,None,N,['d'],,,,,,,F,21,
23,6,259,3,3,6,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
23,7,260,10,10,6,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
23,8,261,9,9,6,['k'],N,N,None,Y,['d'],,,,,,,F,21,
23,9,262,0,0,6,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
23,10,263,0,0,6,['k'],N,N,None,Y,['d'],,,,,,,F,21,
24,0,264,2,2,6,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
24,1,265,9,9,6,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
24,2,266,7,7,6,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
24,3,267,1,1,6,['d'],N,N,None,Y,['k'],,,,,,,F,21,
24,4,268,3,3,6,['d'],N,N,None,Y,['k'],,,,,,,F,21,
24,5,269,0,0,6,['d'],N,N,None,Y,['k'],,,,,,,F,21,
24,6,270,1,1,6,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
24,7,271,4,4,6,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
24,8,272,2,2,6,['k'],N,N,None,Y,['d'],,,,,,,F,21,
24,9,273,10,10,6,['d'],N,N,None,Y,['k'],,,,,,,F,21,
24,10,274,9,9,6,['k'],N,N,None,Y,['d'],,,,,,,F,21,
25,0,275,10,10,6,['d'],N,N,['d'],N,['k'],,,,,,,F,21,
25,1,276,9,9,6,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
25,2,277,0,0,6,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
25,3,278,8,8,6,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
25,4,279,0,0,6,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
25,5,280,2,2,6,['k'],N,N,None,Y,['d'],,,,,,,F,21,
25,6,281,0,0,6,['d'],N,Y,None,N,['k'],,,,,,,F,21,
25,7,282,10,10,6,['k'],N,N,None,Y,['d'],,,,,,,F,21,
25,8,283,4,4,6,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
25,9,284,7,7,6,['k'],N,Y,None,N,['d'],,,,,,,F,21,
25,10,285,8,8,6,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
26,0,286,9,9,6,['k'],N,N,None,Y,['d'],,,,,,,F,21,
26,1,287,4,4,6,['k'],Y,Y,['d'],N,['k'],,,,,,,F,21,
26,2,288,0,0,6,['d'],N,Y,None,N,['k'],,,,,,,F,21,
26,3,289,6,6,6,['d'],N,N,None,Y,['k'],,,,,,,F,21,
26,4,290,9,9,6,['k'],N,N,None,Y,['d'],,,,,,,F,21,
26,5,291,5,5,6,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
26,6,292,0,0,6,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
26,7,293,10,10,6,['d'],N,Y,None,N,['k'],,,,,,,F,21,
26,8,294,8,8,6,['k'],Y,Y,None,N,['k'],,,,,,,F,21,
26,9,295,5,5,6,['k'],N,Y,None,N,['d'],,,,,,,F,21,
26,10,296,9,9,6,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
27,0,297,6,6,6,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
27,1,298,7,7,6,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
27,2,299,10,10,6,['d'],N,Y,['space'],Y,['k'],22,39,22,,,,F,21,
27,3,300,9,9,7,['d'],N,,,,['k'],,,,,,,F,21,
