.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age
9,3,102,2,2,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
9,4,103,4,4,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
9,5,104,10,10,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
9,6,105,1,1,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
9,7,106,10,10,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
9,8,107,2,2,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
9,9,108,8,8,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
9,10,109,7,7,3,['d'],['k'],N,N,None,Y,,,,,,,F,19
10,0,110,10,10,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
10,1,111,0,0,3,['d'],['d'],Y,N,None,Y,,,,,,,F,19
10,2,112,8,8,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
10,3,113,9,9,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
10,4,114,3,3,3,['d'],['d'],Y,Y,None,N,,,,,,,F,19
10,5,115,5,5,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
10,6,116,5,5,3,['k'],['d'],N,N,None,Y,,,,,,,F,19
10,7,117,5,5,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
10,8,118,5,5,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
10,9,119,5,5,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
10,10,120,7,7,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
11,0,121,9,9,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
11,1,122,0,0,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
11,2,123,1,1,3,['d'],['d'],Y,N,None,Y,,,,,,,F,19
11,3,124,1,1,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
11,4,125,10,10,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
11,5,126,0,0,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
11,6,127,5,5,3,['k'],['d'],N,Y,None,N,,,,,,,F,19
11,7,128,9,9,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
11,8,129,4,4,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
11,9,130,4,4,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
11,10,131,6,6,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
12,0,132,2,2,3,['d'],['d'],Y,N,None,Y,,,,,,,F,19
12,1,133,2,2,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
12,2,134,5,5,3,['k'],['d'],N,Y,['space'],Y,,,,,,,F,19
12,3,135,1,1,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
12,4,136,3,3,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
12,5,137,4,4,3,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
12,6,138,4,4,3,['k'],['d'],N,Y,['space'],Y,,,,,,,F,19
12,7,139,2,2,3,['k'],['d'],N,Y,['space'],Y,,,,,,,F,19
12,8,140,3,3,3,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
12,9,141,0,0,3,['d'],['d'],Y,N,None,Y,,,,,,,F,19
12,10,142,10,10,3,['d'],['d'],Y,N,None,Y,,,,,,,F,19
13,0,143,6,6,3,['d'],['d'],Y,N,None,Y,,,,,,,F,19
13,1,144,9,9,3,['d'],['d'],Y,N,None,Y,,,,,,,F,19
13,2,145,9,9,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
13,3,146,7,7,3,['k'],['d'],N,N,None,Y,,,,,,,F,19
13,4,147,7,7,3,['d'],['d'],Y,N,['space'],N,,,,,,,F,19
13,5,148,1,1,3,['k'],['k'],Y,N,None,Y,,,,,,,F,19
13,6,149,4,4,3,['d'],['d'],Y,N,None,Y,43,45,25,,,,F,19
13,7,150,2,2,4,['k'],['d'],N,,,,,,,,,,F,19
13,8,151,9,9,4,['d'],['d'],Y,,,,,,,,,,F,19
13,9,152,1,1,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
13,10,153,10,10,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
14,0,154,9,9,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
14,1,155,10,10,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
14,2,156,5,5,4,['k'],['k'],Y,N,None,Y,,,,,,,F,19
14,3,157,7,7,4,['k'],['d'],N,Y,['space'],Y,,,,,,,F,19
14,4,158,1,1,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
14,5,159,4,4,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
14,6,160,6,6,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
14,7,161,10,10,4,['d'],['k'],N,N,None,Y,,,,,,,F,19
14,8,162,10,10,4,['k'],['k'],Y,Y,None,N,,,,,,,F,19
14,9,163,10,10,4,['k'],['k'],Y,Y,['d'],N,,,,,,,F,19
14,10,164,9,9,4,['d'],['d'],Y,Y,None,N,,,,,,,F,19
15,0,165,4,4,4,['d'],['k'],N,Y,['space'],Y,,,,,,,F,19
15,1,166,3,3,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
15,2,167,9,9,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
15,3,168,0,0,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
15,4,169,5,5,4,['k'],['k'],Y,N,None,Y,,,,,,,F,19
15,5,170,7,7,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
15,6,171,0,0,4,['k'],['k'],Y,N,None,Y,,,,,,,F,19
15,7,172,5,5,4,['k'],['k'],Y,Y,None,N,,,,,,,F,19
15,8,173,3,3,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
15,9,174,10,10,4,['k'],['k'],Y,N,None,Y,,,,,,,F,19
15,10,175,9,9,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
16,0,176,8,8,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
16,1,177,7,7,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
16,2,178,3,3,4,['k'],['k'],Y,N,None,Y,,,,,,,F,19
16,3,179,9,9,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
16,4,180,8,8,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
16,5,181,1,1,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
16,6,182,0,0,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
16,7,183,8,8,4,['k'],['k'],Y,N,None,Y,,,,,,,F,19
16,8,184,7,7,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
16,9,185,7,7,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
16,10,186,10,10,4,['k'],['k'],Y,N,None,Y,,,,,,,F,19
17,0,187,5,5,4,['k'],['k'],Y,N,None,Y,,,,,,,F,19
17,1,188,7,7,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
17,2,189,10,10,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
17,3,190,3,3,4,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
17,4,191,1,1,4,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
17,5,192,0,0,4,['k'],['k'],Y,N,['space'],N,,,,,,,F,19
17,6,193,6,6,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
17,7,194,7,7,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
17,8,195,2,2,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
17,9,196,0,0,4,['k'],['k'],Y,N,None,Y,,,,,,,F,19
17,10,197,2,2,4,['k'],['d'],N,Y,['space'],Y,,,,,,,F,19
18,0,198,8,8,4,['d'],['d'],Y,N,None,Y,,,,,,,F,19
18,1,199,8,8,4,['k'],['k'],Y,N,None,Y,45,43,25,,,,F,19
18,2,200,9,9,5,['k'],['k'],Y,,,,,,,,,,F,19
18,3,201,0,0,5,['k'],['k'],Y,,,,,,,,,,F,19
18,4,202,2,2,5,['k'],['k'],Y,N,None,Y,,,,,,,F,19
18,5,203,0,0,5,['k'],['k'],Y,N,None,Y,,,,,,,F,19
18,6,204,6,6,5,['k'],['k'],Y,N,None,Y,,,,,,,F,19
18,7,205,7,7,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
18,8,206,2,2,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
18,9,207,6,6,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
18,10,208,6,6,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
19,0,209,1,1,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
19,1,210,7,7,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
